Date,000001.SS SSE Composite Index (China),^AEX AEX (Netherlands),^ATX ATX (Austria),^AXJO S&P/ASX 200 (Australia),^BFX BEL 20 (Belgium),^BSESN BSE Sensex (India),^BVSP Bovespa Index (Brazil),^FCHI CAC 40 (France),^GDAXI DAX (Germany),^GSPC S&P 500 (United States),^GSPTSE S&P/TSX Composite Index (Canada),^HSI Hang Seng Index (Hong Kong),^IBEX IBEX 35 (Spain),^ISEQ ISEQ 20 (Ireland),^IXIC NASDAQ Composite (United States),^JKSE Jakarta Composite Index (Indonesia),^KS11 KOSPI (South Korea),^MERV MERVAL (Argentina),^MXX IPC (Mexico),^N225 Nikkei 225 (Japan),^NSEBANK NSE Bank Index (India),^NSEI Nifty 50 (India),^NYA NYSE Composite (United States),^SET.BK SET Index (Thailand),^SSMI SMI (Switzerland),^STI Straits Times Index (Singapore),^TWII Taiwan Weighted Index (Taiwan)
2016-01-14,3007.64892578125,413.3800048828125,2169.89990234375,4909.39990234375,3455.010009765625,24772.970703125,39500.0,4312.89013671875,9794.2001953125,1921.8399658203125,12336.0,19817.41015625,8787.69140625,6454.5498046875,4615.0,4513.18115234375,1900.010009765625,10666.2998046875,41352.75,17240.94921875,15609.6181640625,7536.7998046875,9516.5498046875,1263.2900390625,8305.4697265625,2644.570068359375,7742.85107421875
2016-01-15,2900.969970703125,403.57000732421875,2113.159912109375,4892.7998046875,3384.199951171875,24455.0390625,38569.0,4210.16015625,9545.26953125,1880.3299560546875,12073.5,19520.76953125,8543.5908203125,6322.2998046875,4488.419921875,4523.97607421875,1878.8699951171875,10020.400390625,40847.69921875,17147.109375,15609.6181640625,7437.7998046875,9299.6298828125,1245.8499755859375,8107.1298828125,2630.760009765625,7761.98095703125
2016-01-18,2913.8369140625,401.989990234375,2070.77001953125,4858.7001953125,3339.75,24188.369140625,37937.0,4189.56982421875,9521.849609375,1880.3299560546875,11942.2001953125,19237.44921875,8469.291015625,6279.7099609375,4488.419921875,4481.27587890625,1878.449951171875,9757.099609375,40604.7890625,16955.5703125,15609.6181640625,7351.0,9299.6298828125,1245.050048828125,8099.080078125,2593.0,7811.1513671875
2016-01-19,3007.739013671875,407.67999267578125,2114.47998046875,4903.10009765625,3382.47998046875,24479.83984375,38057.0,4272.259765625,9664.2099609375,1881.3299560546875,12002.2001953125,19635.810546875,8554.8916015625,6366.330078125,4476.9501953125,4491.73681640625,1889.6400146484375,9801.2998046875,40809.25,17048.369140625,15609.6181640625,7435.10009765625,9301.740234375,1266.010009765625,8223.759765625,2638.469970703125,7854.85009765625
2016-01-20,2976.694091796875,395.7200012207031,2043.4000244140625,4841.5,3285.14990234375,24062.0390625,37645.0,4124.9501953125,9391.6396484375,1859.3299560546875,11843.099609375,18886.30078125,8281.3916015625,6159.830078125,4471.68994140625,4427.98486328125,1845.449951171875,9401.099609375,40844.41015625,16416.189453125,15609.6181640625,7309.2998046875,9156.83984375,1248.97998046875,7966.33984375,2559.77001953125,7699.09130859375
2016-01-21,2880.48193359375,406.489990234375,2081.760009765625,4864.0,3355.889892578125,23962.2109375,37717.0,4206.39990234375,9574.16015625,1868.989990234375,12035.900390625,18542.150390625,8444.19140625,6255.35009765625,4472.06005859375,4414.1259765625,1840.530029296875,9819.599609375,41166.87890625,16017.259765625,15609.6181640625,7276.7998046875,9226.5703125,1245.6099853515625,8035.06005859375,2532.699951171875,7663.98095703125
2016-01-22,2916.56201171875,419.2799987792969,2138.89990234375,4916.0,3450.989990234375,24435.66015625,38031.0,4336.68994140625,9764.8798828125,1906.9000244140625,12389.599609375,19080.509765625,8722.8916015625,6356.18017578125,4591.18017578125,4456.744140625,1879.4300537109375,10329.900390625,41621.30859375,16958.529296875,15609.6181640625,7422.4501953125,9426.91015625,1268.030029296875,8271.1103515625,2577.090087890625,7756.1513671875
2016-01-25,2938.514892578125,418.07000732421875,2138.889892578125,5006.60009765625,3436.14990234375,24485.94921875,38031.0,4311.330078125,9736.150390625,1877.0799560546875,12143.2001953125,19340.140625,8567.69140625,6327.06005859375,4518.490234375,4505.7880859375,1893.4300537109375,10396.400390625,41476.3515625,17110.91015625,15560.9697265625,7436.14990234375,9262.990234375,1267.699951171875,8253.33984375,2582.639892578125,7894.11962890625
2016-01-27,2735.55810546875,424.4100036621094,2137.9599609375,4946.39990234375,3461.090087890625,24492.390625,38376.0,4380.35986328125,9880.8203125,1882.949951171875,12377.7998046875,19052.44921875,8740.9912109375,6341.9599609375,4468.169921875,4583.6279296875,1897.8699951171875,10786.599609375,42109.890625,17163.919921875,15560.9697265625,7437.75,9373.7802734375,1278.2900390625,8322.6796875,2546.179931640625,7849.80078125
2016-01-28,2655.660888671875,420.1000061035156,2129.449951171875,4976.2001953125,3409.3701171875,24469.5703125,38630.0,4322.16015625,9639.58984375,1893.3599853515625,12591.900390625,19195.830078125,8590.5908203125,6214.7900390625,4506.68017578125,4602.8291015625,1906.93994140625,10883.5,42393.01953125,17041.44921875,15560.9697265625,7424.64990234375,9397.7900390625,1288.4000244140625,8153.27001953125,2562.449951171875,7905.06982421875
